rg1,rg2,rg3,rg4,rg5,rg6,rg7,rg8,rg9,rg10,rx1,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rwin
-225,159,-363,1039,-119,253,-728,-2311,-531,-6395,449,794,141,431,-4662,-5049,-8985,-14884,-18558,-21579,0
-835,-1266,-736,-1255,-590,-1120,-4576,-5345,-5269,-10239,-742,-2031,-1198,-49,-479,-2550,-10512,-7302,-8510,-18419,0
186,-152,447,645,563,2268,10043,14486,16150,17280,-500,563,895,1054,898,2985,12868,17917,20721,25184,1
-962,1270,2760,2880,4839,7885,3639,3146,857,7361,-458,883,1892,1622,3438,5579,-1339,-1842,-1827,7102,1
-320,-1182,-1637,-3918,-6185,-6508,-10554,-13170,-13877,-18341,1,-1683,-2574,-3032,-5451,-6454,-12984,-15664,-13435,-26950,0
-727,-517,-816,-881,-2618,-2589,-718,467,-4442,-9334,-297,-460,-2313,-3104,-2407,-1428,-210,-2634,-15264,-19822,0
-414,681,1148,3241,2030,756,5619,3356,807,3479,-341,1533,-1588,1282,1488,783,11036,4887,3409,8980,1
-3,891,1598,3139,5536,9287,9810,11803,13801,15194,334,1177,1670,4162,6678,9637,9650,12373,16680,17281,1
714,736,507,1630,-741,-208,1622,4874,7831,8505,-391,-1074,-1576,-1935,-6641,-5789,-966,-1173,277,-7658,1
482,732,1840,5105,4901,2321,5011,9069,10829,18936,362,1385,2934,5097,4036,2523,4494,8226,10211,21157,1
416,1005,2857,4164,7966,5037,4218,7522,7153,8039,188,693,1720,3661,6180,1515,534,513,-2681,993,1
-399,-1521,-1617,-321,920,-20,864,-2465,-7342,-16388,-787,-2725,-2580,-1294,799,938,3516,-7508,-5613,-10456,0
868,2168,2553,3983,4541,6329,7078,8918,15786,24184,337,1070,780,2369,3362,4850,4001,6131,16389,20279,1
-439,-603,-1674,-2031,-1959,-3856,-3504,-2035,-1818,-4589,-112,-328,-1595,-1429,-2040,-1372,577,1289,2040,-2107,0
1920,518,-240,1605,301,-3030,-6238,-13209,-19566,-24613,862,36,-3168,-1052,-3735,-7978,-12344,-18788,-27007,-18422,0
146,1058,2859,3906,2419,6389,4483,6266,8217,3128,1197,2194,3841,2243,-1504,3847,3399,6946,9841,7397,0
-353,-1836,-2376,-650,-2117,-2090,-7665,-13488,-19611,-25272,175,-688,-1885,-1740,-4110,-3622,-11877,-17874,-23100,-30314,0
-941,-972,-1509,-2095,-2644,-2080,-3214,-5972,-6710,-8242,-379,-830,-2228,-2872,-5059,-4815,-4704,-7052,-9536,-9757,0
-415,272,928,-501,-855,2529,1334,-387,1939,783,-1075,490,852,-3848,-4782,4750,2996,-341,1114,-1005,1
-67,396,1152,3260,4750,6603,11327,13620,8930,7017,-328,-349,528,4251,5784,9280,11984,15964,4138,-1031,1
-823,-586,-1107,-2908,-3344,-1561,-5740,-3867,-2638,-8187,-931,-573,-1618,-1278,-648,2121,-1865,3525,1286,-9606,0
492,460,1310,4635,2920,6533,10470,12613,9445,12275,497,658,2187,3837,1881,7187,10501,12591,6841,8645,1
680,-528,-1668,-1986,721,-2209,-447,-5975,-9898,-10687,489,-1530,-2916,-4399,-910,-9799,-7923,-11168,-16880,-11091,0
-204,-1243,-212,1664,217,3054,2712,3244,9175,14070,1022,1585,1648,4808,2302,7460,9223,14091,22031,24937,1
-470,-903,-1703,-4615,-5931,-5681,-10056,-10995,-8580,-14611,-159,-180,-731,-3533,-2736,-2218,-7676,-6207,-2908,-7523,0
446,649,-1707,-3163,-5084,-7779,-8112,-11592,-11838,-13452,688,341,-697,48,-3641,-6237,-8498,-13873,-14192,-19733,0
-791,-2151,-2190,-4007,-4765,-4212,-5314,-5527,-12632,-20308,-478,-2055,-1478,-3132,-4805,-5350,-8188,-11865,-22551,-31077,0
262,107,322,1473,1062,-271,1993,1119,670,1675,-278,0,-9,2242,1071,-1306,4289,5292,6358,8481,1
